i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.0235,0.3735,0.35,-0.1985,-0.163,0.3615,0.0385,-0.0635,0.281,-0.06,0.221,0.32,-0.03,0.0055,0.121
0.05,0.374,0.3245,-0.212,-0.137,0.349,0.0365,-0.0645,0.2805,-0.0595,0.217,0.316,-0.0245,0.001,0.12
0.02,0.375,0.3555,-0.1975,-0.1675,0.365,0.0485,-0.055,0.2885,-0.052,0.2225,0.319,-0.0295,0.011,0.116
-0.0005,0.373,0.374,-0.1865,-0.187,0.373,0.0515,-0.0525,0.289,-0.0495,0.226,0.3225,-0.033,0.013,0.1185
-0.012,0.3645,0.3765,-0.176,-0.194,0.37,0.0525,-0.0545,0.2915,-0.047,0.2285,0.3225,-0.034,0.011,0.1205
-0.017,0.36,0.377,-0.1715,-0.197,0.3685,0.053,-0.0545,0.292,-0.0455,0.229,0.3185,-0.0365,0.013,0.1175
-0.008,0.3595,0.3675,-0.1755,-0.1875,0.3635,0.0525,-0.053,0.2925,-0.044,0.232,0.3235,-0.029,0.003,0.12
-0.001,0.354,0.355,-0.1765,-0.1775,0.354,0.0565,-0.0535,0.2895,-0.048,0.2285,0.321,-0.0315,-0.0055,0.1205
0.011,0.3495,0.3385,-0.18,-0.1635,0.3435,0.0505,-0.058,0.284,-0.0555,0.2215,0.3125,-0.0345,-0.005,0.1205
0.012,0.349,0.337,-0.1805,-0.1625,0.343,0.046,-0.0585,0.286,-0.054,0.222,0.3165,-0.0305,-0.005,0.12
0.006,0.355,0.349,-0.1805,-0.171,0.3515,0.054,-0.046,0.2985,-0.0415,0.234,0.3245,-0.027,-0.0015,0.1135
-0.008,0.346,0.354,-0.169,-0.181,0.3495,0.0585,-0.0395,0.3025,-0.04,0.235,0.3235,-0.027,-0.003,0.1125
-0.0195,0.3415,0.361,-0.161,-0.19,0.351,0.0585,-0.043,0.298,-0.046,0.227,0.317,-0.0325,-0.0055,0.1125
-0.014,0.3445,0.359,-0.165,-0.1865,0.352,0.055,-0.0485,0.292,-0.049,0.2245,0.313,-0.032,-0.003,0.114
-0.0055,0.3485,0.354,-0.1715,-0.1795,0.3515,0.0535,-0.056,0.281,-0.0585,0.2185,0.3105,-0.0315,-0.003,0.113
-0.0135,0.3635,0.377,-0.1745,-0.195,0.37,0.0585,-0.054,0.281,-0.0575,0.22,0.313,-0.0365,0.003,0.104
-0.028,0.3615,0.3895,-0.1665,-0.2085,0.375,0.0565,-0.0615,0.273,-0.0625,0.218,0.3095,-0.039,0.004,0.1065
-0.0265,0.3585,0.385,-0.166,-0.2055,0.3715,0.0585,-0.0785,0.257,-0.076,0.2085,0.3,-0.0465,0.0045,0.109
-0.0295,0.365,0.3945,-0.168,-0.2115,0.3795,0.0605,-0.0885,0.24,-0.0905,0.196,0.29,-0.0625,0.0065,0.113
-0.0355,0.375,0.4105,-0.1695,-0.223,0.3925,0.0495,-0.1095,0.213,-0.1085,0.188,0.294,-0.063,0.015,0.127
-0.035,0.3905,0.425,-0.178,-0.2295,0.4075,0.0335,-0.143,0.1855,-0.123,0.1915,0.3105,-0.0515,0.0245,0.1415
-0.042,0.396,0.438,-0.177,-0.24,0.417,0.0145,-0.182,0.151,-0.1455,0.1875,0.3225,-0.0455,0.0225,0.1595
-0.033,0.414,0.4475,-0.1905,-0.24,0.4305,-0.007,-0.225,0.1095,-0.171,0.183,0.339,-0.0405,0.037,0.1785
-0.0195,0.448,0.467,-0.214,-0.243,0.4575,-0.037,-0.269,0.0695,-0.1925,0.19,0.368,-0.0245,0.063,0.2055
0.0,0.463,0.4625,-0.2315,-0.231,0.4625,-0.0795,-0.3285,0.0145,-0.2255,0.1895,0.397,0.0,0.0805,0.24
0.022,0.4695,0.4475,-0.246,-0.2125,0.4585,-0.117,-0.384,-0.0385,-0.2595,0.1865,0.4185,0.016,0.0935,0.2635
0.028,0.4935,0.465,-0.2605,-0.2185,0.479,-0.157,-0.4315,-0.081,-0.2845,0.1925,0.449,0.0405,0.1095,0.2895
0.0605,0.525,0.464,-0.2925,-0.2015,0.494,-0.197,-0.489,-0.1315,-0.314,0.1895,0.4715,0.06,0.126,0.3155
0.07,0.542,0.4715,-0.3065,-0.2005,0.507,-0.2235,-0.5335,-0.171,-0.342,0.185,0.4925,0.0735,0.151,0.3435
0.0755,0.558,0.4815,-0.317,-0.203,0.52,-0.25,-0.573,-0.2115,-0.374,0.175,0.5155,0.085,0.168,0.374
0.094,0.5735,0.479,-0.334,-0.1925,0.5265,-0.2795,-0.61,-0.2505,-0.406,0.1605,0.53,0.0975,0.178,0.397
0.1035,0.593,0.489,-0.3485,-0.1925,0.541,-0.304,-0.63,-0.27,-0.425,0.153,0.5475,0.1165,0.1845,0.421
0.1265,0.6045,0.4775,-0.3655,-0.1755,0.541,-0.3245,-0.639,-0.2795,-0.437,0.1525,0.569,0.1375,0.1845,0.4435
0.1495,0.61,0.46,-0.38,-0.155,0.5345,-0.344,-0.644,-0.2895,-0.452,0.1465,0.584,0.1595,0.202,0.4615
0.1765,0.621,0.445,-0.3985,-0.134,0.5325,-0.3615,-0.6495,-0.299,-0.469,0.136,0.6015,0.179,0.213,0.475
0.1965,0.641,0.4445,-0.4185,-0.124,0.5425,-0.3815,-0.653,-0.3,-0.472,0.1435,0.6335,0.209,0.2315,0.4845
0.2165,0.68,0.4635,-0.4485,-0.1235,0.5715,-0.398,-0.663,-0.311,-0.484,0.1415,0.6595,0.2305,0.258,0.5015
0.246,0.7235,0.477,-0.4845,-0.1155,0.6,-0.423,-0.689,-0.334,-0.497,0.147,0.6955,0.2585,0.2905,0.5215
0.28,0.7735,0.493,-0.5265,-0.1065,0.633,-0.4575,-0.7195,-0.35,-0.4955,0.172,0.748,0.305,0.339,0.5365
0.3275,0.8405,0.5125,-0.584,-0.0925,0.676,-0.486,-0.745,-0.3545,-0.483,0.207,0.8115,0.3615,0.385,0.5445
0.362,0.892,0.53,-0.627,-0.084,0.711,-0.4985,-0.7505,-0.3465,-0.461,0.239,0.868,0.4095,0.431,0.541
0.3755,0.9335,0.5575,-0.654,-0.091,0.745,-0.4995,-0.7575,-0.338,-0.4455,0.259,0.9075,0.4325,0.4845,0.535
0.4005,0.983,0.582,-0.692,-0.0905,0.7825,-0.508,-0.7915,-0.359,-0.4545,0.266,0.94,0.4505,0.5375,0.541
0.4255,1.038,0.612,-0.7315,-0.093,0.8245,-0.5225,-0.82,-0.3775,-0.458,0.2745,0.9715,0.472,0.5845,0.5435
0.4415,1.0495,0.6075,-0.7455,-0.083,0.8285,-0.511,-0.825,-0.3765,-0.4525,0.285,0.9935,0.4825,0.6035,0.541
0.439,0.9815,0.542,-0.7105,-0.0515,0.7615,-0.4865,-0.8365,-0.4075,-0.493,0.236,0.952,0.446,0.5545,0.563
0.445,0.947,0.5015,-0.696,-0.0285,0.724,-0.4775,-0.8735,-0.4515,-0.534,0.19,0.916,0.411,0.516,0.5815
0.4245,0.9,0.475,-0.6625,-0.0255,0.6875,-0.457,-0.9065,-0.4875,-0.5595,0.1605,0.8845,0.3745,0.4825,0.589
0.3875,0.7745,0.387,-0.5815,0.0,0.5805,-0.3915,-0.887,-0.4945,-0.5845,0.107,0.8115,0.3105,0.377,0.594
0.362,0.678,0.316,-0.52,0.0225,0.497,-0.3505,-0.8695,-0.4925,-0.5965,0.071,0.757,0.267,0.2995,0.601
0.308,0.6215,0.3135,-0.4645,-0.003,0.467,-0.355,-0.888,-0.5135,-0.6195,0.033,0.703,0.22,0.2725,0.625
0.2575,0.5885,0.331,-0.423,-0.0365,0.4595,-0.3235,-0.8885,-0.5175,-0.6305,-0.0065,0.637,0.157,0.256,0.624
0.1875,0.5725,0.3845,-0.38,-0.098,0.4785,-0.2965,-0.895,-0.5185,-0.6315,-0.0395,0.57,0.084,0.271,0.6115
0.1405,0.58,0.4395,-0.36,-0.149,0.5095,-0.306,-0.9105,-0.525,-0.6315,-0.0545,0.5235,0.032,0.296,0.612
0.1095,0.6105,0.5005,-0.36,-0.1955,0.5555,-0.314,-0.9035,-0.505,-0.605,-0.0425,0.507,0.011,0.3345,0.603
0.0925,0.6335,0.5405,-0.363,-0.224,0.587,-0.334,-0.9015,-0.49,-0.5875,-0.0395,0.478,-0.015,0.365,0.599
0.097,0.668,0.5705,-0.3825,-0.2365,0.619,-0.3475,-0.892,-0.4625,-0.5535,-0.0135,0.4645,-0.0305,0.3975,0.575
0.0725,0.702,0.629,-0.3875,-0.278,0.6655,-0.3645,-0.8565,-0.4145,-0.5,0.037,0.49,-0.017,0.4365,0.556
0.053,0.6925,0.639,-0.3725,-0.293,0.6655,-0.391,-0.832,-0.4,-0.4945,0.03,0.4655,-0.0325,0.43,0.568
0.0215,0.6645,0.6425,-0.343,-0.3105,0.6535,-0.381,-0.8195,-0.412,-0.528,-0.0245,0.389,-0.0995,0.39,0.5765
-0.032,0.6145,0.646,-0.291,-0.339,0.63,-0.359,-0.805,-0.438,-0.5825,-0.0965,0.3005,-0.1815,0.3455,0.5945
-0.0855,0.5455,0.6305,-0.23,-0.358,0.588,-0.337,-0.785,-0.454,-0.6295,-0.1685,0.2075,-0.263,0.2985,0.605
-0.1145,0.4785,0.5925,-0.182,-0.3535,0.5355,-0.3155,-0.753,-0.453,-0.658,-0.222,0.136,-0.3225,0.239,0.6015
-0.1385,0.407,0.5445,-0.134,-0.3415,0.4755,-0.305,-0.7255,-0.4525,-0.682,-0.264,0.079,-0.365,0.176,0.604
-0.1605,0.3425,0.5025,-0.091,-0.3315,0.4225,-0.2865,-0.689,-0.4425,-0.6935,-0.294,0.0345,-0.4015,0.11,0.6065
-0.168,0.295,0.4625,-0.0635,-0.315,0.3785,-0.2555,-0.639,-0.413,-0.689,-0.313,-0.0005,-0.432,0.053,0.596
-0.1745,0.263,0.438,-0.044,-0.306,0.35,-0.261,-0.5925,-0.3735,-0.665,-0.306,-0.014,-0.429,0.018,0.584
-0.179,0.2375,0.4165,-0.029,-0.2975,0.3265,-0.2755,-0.559,-0.342,-0.635,-0.284,-0.011,-0.4175,-0.015,0.57
-0.1815,0.2215,0.403,-0.02,-0.292,0.312,-0.271,-0.529,-0.3115,-0.6115,-0.266,-0.01,-0.414,-0.0395,0.5515
-0.187,0.2145,0.402,-0.014,-0.294,0.308,-0.2525,-0.483,-0.266,-0.573,-0.238,-0.0045,-0.404,-0.0505,0.522
-0.188,0.2115,0.3995,-0.0115,-0.2935,0.3055,-0.22,-0.4335,-0.2145,-0.529,-0.208,0.0025,-0.3975,-0.0535,0.482
-0.1805,0.2065,0.387,-0.013,-0.2835,0.2965,-0.1865,-0.3665,-0.149,-0.48,-0.174,0.015,-0.378,-0.058,0.441
-0.159,0.205,0.364,-0.023,-0.261,0.2845,-0.143,-0.2925,-0.079,-0.426,-0.1365,0.0325,-0.353,-0.0765,0.397
-0.1455,0.2175,0.363,-0.036,-0.254,0.29,-0.107,-0.2275,-0.0095,-0.37,-0.0935,0.0535,-0.327,-0.0735,0.3515
-0.153,0.2315,0.384,-0.039,-0.2685,0.3075,-0.065,-0.1625,0.064,-0.305,-0.0425,0.08,-0.3005,-0.067,0.305
-0.143,0.234,0.377,-0.0455,-0.2595,0.305,-0.0315,-0.09,0.142,-0.2335,0.0135,0.113,-0.261,-0.068,0.2615
-0.1145,0.2555,0.37,-0.0705,-0.242,0.3125,0.0005,-0.01,0.228,-0.157,0.079,0.156,-0.2115,-0.058,0.2155
-0.0825,0.2735,0.356,-0.0955,-0.219,0.3145,0.0435,0.0565,0.303,-0.089,0.138,0.194,-0.1695,-0.068,0.1705
-0.0645,0.276,0.341,-0.106,-0.2025,0.308,0.0705,0.1105,0.3695,-0.025,0.191,0.227,-0.1245,-0.067,0.1315
-0.03,0.304,0.3335,-0.137,-0.1815,0.3185,0.085,0.142,0.417,0.0235,0.231,0.2545,-0.0885,-0.045,0.102
0.009,0.333,0.3245,-0.171,-0.1575,0.3285,0.0825,0.147,0.444,0.0565,0.2605,0.274,-0.062,-0.0255,0.0845
-0.005,0.3455,0.3505,-0.17,-0.1775,0.3475,0.086,0.155,0.472,0.0915,0.293,0.2965,-0.0415,-0.0115,0.0735
-0.012,0.359,0.371,-0.1735,-0.191,0.3645,0.0995,0.16,0.493,0.1195,0.318,0.3185,-0.026,-0.0055,0.065
-0.0045,0.3725,0.3775,-0.184,-0.191,0.3745,0.105,0.17,0.5155,0.1455,0.3425,0.3385,-0.0085,0.007,0.056
