i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-1.1685,-1.672,-0.5035,1.42,-0.333,-1.088,-0.036,-0.5465,-0.4605,-0.6765,-0.929,-0.646,-1.3385,-0.6005,-0.874
-1.644,-1.6335,0.0105,1.6385,-0.828,-0.8115,0.0735,-0.344,-0.235,-0.4215,-0.66,-0.3935,-1.2475,-0.5765,-0.848
-2.0055,-1.614,0.391,1.8095,-1.199,-0.611,0.1315,-0.221,-0.069,-0.1935,-0.402,-0.159,-1.1405,-0.5815,-0.82
-1.8375,-1.5685,0.2685,1.7025,-1.0535,-0.6495,0.03,-0.249,-0.0585,-0.1545,-0.362,-0.14,-1.069,-0.559,-0.7875
-1.833,-1.5385,0.294,1.6855,-1.064,-0.622,-0.0175,-0.287,-0.0385,-0.0235,-0.174,0.012,-0.94,-0.5535,-0.773
-1.752,-1.5225,0.2295,1.637,-0.9915,-0.646,-0.1085,-0.327,-0.057,-0.014,-0.2075,-0.028,-0.9365,-0.5355,-0.713
-1.696,-1.5015,0.194,1.5985,-0.9455,-0.653,-0.17,-0.429,-0.055,0.1385,0.284,0.489,-0.5445,-0.5535,-0.679
-1.6475,-1.493,0.154,1.57,-0.9015,-0.669,-0.2585,-0.4325,-0.09,0.8665,0.974,1.064,-0.0505,-0.533,-0.7005
-1.585,-1.464,0.12,1.524,-0.853,-0.672,-0.3425,-0.6905,-0.1715,1.0315,0.947,1.0115,-0.047,-0.5525,-0.4
-1.5675,-1.4445,0.1225,1.506,-0.8455,-0.661,-0.479,-0.557,-0.244,0.996,1.076,1.1435,0.05,-0.482,-0.2255
-1.5225,-1.426,0.096,1.474,-0.81,-0.6645,-0.5455,-0.0655,-0.326,1.076,1.114,1.161,0.088,-0.585,-0.2045
-1.4745,-1.395,0.079,1.4345,-0.777,-0.658,-0.7065,-0.239,-0.3975,1.075,1.2295,1.266,0.185,-0.256,-0.1065
-1.406,-1.3655,0.04,1.3855,-0.7235,-0.6625,-0.7275,-0.3755,-0.464,1.15,1.2895,1.3105,0.25,0.4035,-0.063
-1.3445,-1.328,0.016,1.336,-0.6805,-0.656,-0.995,-0.504,-0.5355,1.152,1.413,1.404,0.344,0.4055,-0.001
-1.313,-1.288,0.025,1.3,-0.6695,-0.6315,-1.8005,-0.6815,-0.6445,1.166,1.4395,1.4885,0.4165,0.437,0.113
-1.247,-1.2455,0.001,1.246,-0.6245,-0.622,-1.987,-0.818,-0.765,1.1315,0.7665,0.8925,0.012,0.481,-0.03
-1.2325,-1.2175,0.0155,1.2245,-0.6245,-0.601,-1.9815,-0.9345,-0.8085,1.16,0.727,0.779,-0.0535,0.474,-0.178
-1.141,-1.2225,-0.081,1.1815,-0.53,-0.6515,-2.0865,-0.945,-0.7885,1.2345,0.869,0.9,0.067,0.493,-0.1155
-1.174,-1.231,-0.057,1.2025,-0.5585,-0.644,-2.037,-0.9695,-0.7315,1.307,0.916,0.9265,0.0885,0.4725,-0.115
-1.056,-1.233,-0.1775,1.144,-0.4395,-0.705,-2.133,-1.027,-0.819,1.2575,0.9135,0.922,0.109,0.4765,-0.087
-0.382,-1.3025,-0.9205,0.842,0.269,-1.1115,-2.2975,-1.267,-1.001,1.062,0.6765,0.69,0.1035,0.417,-0.0825
-0.1105,-1.3865,-1.276,0.7485,0.5825,-1.3315,-2.3525,-1.235,-1.0825,1.019,0.6395,0.5895,0.106,0.3185,-0.111
-0.6755,-1.4415,-0.766,1.058,0.045,-1.1035,-2.165,-1.2835,-0.9395,1.1905,0.7915,0.78,0.098,0.3175,-0.1025
-1.215,-1.4585,-0.2435,1.3365,-0.486,-0.851,-1.8885,-1.843,-0.8345,1.3065,0.9495,0.8845,0.0305,0.2605,-0.13
-1.2465,-1.439,-0.1925,1.3425,-0.5275,-0.8155,-1.9405,-1.8875,-0.864,1.2465,0.7675,0.88,-0.016,0.399,-0.1455
-1.343,-1.4355,-0.093,1.389,-0.6255,-0.764,-1.3655,-1.817,-0.853,1.128,1.218,1.455,0.326,0.2045,0.085
-1.457,-1.464,-0.0065,1.4605,-0.7255,-0.7355,-0.683,-1.793,-0.8065,1.101,1.432,1.468,0.3055,-0.473,0.1175
-1.509,-1.5145,-0.0055,1.5115,-0.752,-0.76,-0.652,-1.046,-0.82,0.434,1.091,1.3045,0.091,-0.5235,0.1045
-1.577,-1.5605,0.016,1.5685,-0.797,-0.772,-0.514,-0.697,-0.8315,-0.135,1.134,1.274,0.0005,-0.5255,0.1415
-1.623,-1.595,0.0275,1.6085,-0.8255,-0.7835,-0.44,-0.729,-0.6765,-0.161,0.4545,1.107,-0.185,-0.57,0.131
-1.671,-1.616,0.0545,1.6435,-0.863,-0.7805,-0.347,-0.6255,-0.3585,-0.2925,-0.1725,1.1225,-0.2675,-0.5485,0.19
-1.7395,-1.644,0.0955,1.6915,-0.918,-0.774,-0.27,-0.5965,0.0335,-0.336,-0.23,0.4475,-0.714,-0.581,0.0645
-1.7635,-1.6715,0.0915,1.717,-0.928,-0.7895,-0.205,-0.5205,0.1565,-0.447,-0.366,0.001,-1.02,-0.5725,-0.0125
-1.85,-1.6855,0.1635,1.7675,-1.007,-0.7605,-0.0905,-0.46,0.0345,-0.446,-0.466,0.058,-1.0215,-0.593,-0.0445
-1.8415,-1.7035,0.138,1.7725,-0.99,-0.7825,-0.037,-0.4075,-0.6785,-0.615,-0.531,-0.098,-1.143,-0.572,-0.082
-1.988,-1.7135,0.2735,1.8505,-1.1315,-0.72,0.0815,-0.318,-0.6325,-0.108,-0.6835,-0.103,-1.1665,-0.578,-0.16
-1.81,-1.7075,0.1025,1.7585,-0.9565,-0.802,0.0445,-0.357,-0.0005,0.236,-0.589,-0.2445,-1.182,-0.5525,-0.265
-1.1435,-1.6935,-0.5495,1.4185,-0.2975,-1.1215,-0.1675,-0.5525,-0.1225,-0.1755,-0.1895,-0.503,-1.176,-0.532,-0.328
-1.147,-1.6975,-0.5505,1.422,-0.2985,-1.124,-0.187,-0.548,-0.109,-0.161,-0.2085,-0.537,-1.2045,-0.5285,-0.34
-1.2045,-1.7235,-0.519,1.4635,-0.343,-1.121,-0.2015,-0.5105,-0.131,-0.22,-0.269,-0.597,-1.2685,-0.546,-0.3295
-1.1975,-1.742,-0.5445,1.4695,-0.327,-1.1435,-0.252,-0.505,-0.163,-0.2805,-0.289,-0.6175,-1.2845,-0.5665,-0.3305
-1.2435,-1.767,-0.5235,1.505,-0.3605,-1.145,-0.244,-0.451,-0.2035,-0.3375,-0.3545,-0.698,-1.3545,-0.585,-0.3195
-1.227,-1.7785,-0.552,1.5025,-0.3375,-1.1655,-0.2445,-0.4495,-0.2435,-0.4045,-0.362,-0.6745,-1.344,-0.594,-0.3425
-1.269,-1.7825,-0.5135,1.5255,-0.378,-1.148,-0.229,-0.407,-0.2875,-0.4355,-0.396,-0.7755,-1.4235,-0.596,-0.312
-1.262,-1.7955,-0.5335,1.5285,-0.3645,-1.1645,-0.198,-0.367,-0.229,-0.445,-0.3905,-0.5765,-1.2985,-0.6125,-0.4665
-1.2855,-1.805,-0.5195,1.545,-0.3835,-1.1625,-0.1565,-0.2655,-0.1755,-0.3985,-0.3955,0.064,-0.908,-0.62,-0.6435
-1.2785,-1.8125,-0.5335,1.545,-0.373,-1.173,-0.125,-0.2145,-0.09,-0.3655,-0.3715,0.076,-0.8955,-0.6315,-0.661
-1.2735,-1.8035,-0.53,1.5385,-0.372,-1.167,-0.099,-0.1345,-0.0485,-0.324,-0.3685,0.0445,-0.91,-0.629,-0.7
-1.2625,-1.8045,-0.542,1.533,-0.3605,-1.173,-0.0855,-0.0935,-0.695,-0.3005,-0.3545,0.0665,-0.8885,-0.6385,-0.716
-1.26,-1.81,-0.55,1.5345,-0.355,-1.18,-0.064,-0.0435,-0.8645,-0.233,-0.335,0.04,-0.896,-0.6445,-0.724
-1.2705,-1.825,-0.5545,1.5475,-0.3585,-1.1895,-0.0535,0.0365,-0.7095,-0.191,-0.323,0.0595,-0.8815,-0.6575,-0.754
-1.2805,-1.8395,-0.559,1.5595,-0.361,-1.199,-0.019,-0.5525,-0.7055,-0.122,-0.305,0.0305,-0.891,-0.669,-0.7835
-1.287,-1.8475,-0.5605,1.567,-0.3635,-1.204,-0.023,-0.8145,-0.602,-0.082,-0.292,0.041,-0.877,-0.685,-0.8165
-1.29,-1.8615,-0.5715,1.5755,-0.3595,-1.2165,0.01,-0.6645,-0.593,-0.046,-0.285,0.015,-0.887,-0.6945,-0.849
-1.2885,-1.863,-0.5745,1.5755,-0.3575,-1.219,0.0155,-0.687,-0.5315,-0.009,-0.278,0.018,-0.8815,-0.689,-0.8485
-1.2825,-1.8715,-0.589,1.5765,-0.347,-1.23,0.0465,-0.601,-0.507,0.0095,-0.268,0.007,-0.8855,-0.7285,-0.9165
-1.27,-1.874,-0.604,1.572,-0.333,-1.239,0.054,-0.5925,-0.4675,0.0665,-0.2585,0.008,-0.877,-0.6925,-0.864
-1.2695,-1.877,-0.608,1.573,-0.331,-1.2425,0.0595,-0.562,-0.448,0.0305,-0.253,0.0045,-0.8815,-0.768,-0.998
-1.275,-1.884,-0.609,1.5795,-0.3335,-1.2465,0.093,-0.56,-0.429,0.162,-0.247,0.0025,-0.8685,-0.6245,-0.699
-1.2625,-1.882,-0.6195,1.572,-0.3215,-1.2505,0.0345,-0.5355,-0.406,-0.282,-0.242,0.002,-0.899,-0.4455,-0.2745
-1.2645,-1.878,-0.6135,1.571,-0.326,-1.2455,0.172,-0.5115,-0.388,-0.7965,-0.236,0.001,-0.94,-0.424,-0.188
-1.2725,-1.8765,-0.604,1.574,-0.3345,-1.2405,-0.5135,-0.5005,-0.3685,-0.6865,-0.23,0.005,-0.927,-0.5165,-0.4105
-1.266,-1.8835,-0.6175,1.5745,-0.3245,-1.2505,-0.478,-0.4875,-0.361,-0.7165,-0.228,0.003,-0.9285,-0.762,-0.907
-1.2725,-1.89,-0.6175,1.581,-0.328,-1.2535,0.277,-0.483,-0.3505,-0.69,-0.231,-0.0055,-0.9275,-0.53,-0.4205
-1.2685,-1.8885,-0.62,1.578,-0.3245,-1.2545,-0.4225,-0.4685,-0.342,-0.686,-0.231,-0.0125,-0.93,-0.4295,-0.2035
-1.2805,-1.894,-0.613,1.587,-0.334,-1.2535,-0.7955,-0.463,-0.328,-0.68,-0.234,-0.0195,-0.9375,-0.48,-0.3185
-1.2825,-1.889,-0.6065,1.5855,-0.338,-1.248,-0.722,-0.457,-0.3235,-0.668,-0.2395,-0.028,-0.9425,-0.437,-0.2465
-1.2625,-1.8825,-0.62,1.572,-0.3215,-1.251,-0.7705,-0.4555,-0.316,-0.669,-0.2365,-0.0275,-0.9405,-0.467,-0.2935
-1.282,-1.8965,-0.6145,1.589,-0.334,-1.2555,-0.7275,-0.4475,-0.305,-0.646,-0.231,-0.027,-0.942,-0.464,-0.2625
-1.2915,-1.895,-0.6035,1.593,-0.3445,-1.2495,-0.7355,-0.4395,-0.293,-0.641,-0.22,-0.0195,-0.939,-0.4755,-0.2955
-1.2825,-1.893,-0.6105,1.5875,-0.336,-1.252,-0.7015,-0.434,-0.282,-0.6225,-0.2155,-0.0135,-0.9325,-0.4675,-0.2895
-1.269,-1.8955,-0.6265,1.582,-0.3215,-1.261,-0.7225,-0.4395,-0.2835,-0.6315,-0.2185,-0.018,-0.932,-0.472,-0.2835
-1.271,-1.902,-0.631,1.586,-0.3205,-1.2665,-0.716,-0.442,-0.2825,-0.622,-0.215,-0.0145,-0.926,-0.474,-0.292
-1.2945,-1.917,-0.6225,1.6055,-0.336,-1.2695,-0.7095,-0.4335,-0.2735,-0.616,-0.21,-0.0115,-0.9305,-0.4665,-0.276
-1.299,-1.914,-0.6155,1.6065,-0.342,-1.2645,-0.708,-0.425,-0.263,-0.6045,-0.202,-0.008,-0.9285,-0.4725,-0.3005
-1.281,-1.9105,-0.6295,1.5955,-0.326,-1.27,-0.712,-0.4195,-0.258,-0.5995,-0.196,-0.004,-0.9155,-0.4535,-0.262
-1.282,-1.9145,-0.633,1.598,-0.3245,-1.274,-0.6975,-0.4075,-0.2515,-0.595,-0.197,-0.0075,-0.9205,-0.487,-0.3355
-1.2885,-1.915,-0.6265,1.6015,-0.3315,-1.271,-0.694,-0.392,-0.242,-0.5875,-0.198,-0.0135,-0.9275,-0.7545,-0.913
-1.2805,-1.9185,-0.638,1.5995,-0.3215,-1.2785,-0.7045,-0.3905,-0.2445,-0.5925,-0.1995,-0.015,-0.923,-0.733,-0.8435
-1.277,-1.915,-0.638,1.5955,-0.3195,-1.2765,-0.703,-0.3845,-0.238,-0.5885,-0.1965,-0.0135,-0.919,-0.487,-0.3185
-1.2765,-1.908,-0.6315,1.592,-0.323,-1.27,-0.703,-0.375,-0.2275,-0.58,-0.194,-0.0145,-0.9195,-0.4475,-0.2525
-1.287,-1.905,-0.618,1.5955,-0.335,-1.2615,-0.7005,-0.371,-0.222,-0.5725,-0.1905,-0.012,-0.9225,-0.4795,-0.338
-1.28,-1.9015,-0.622,1.5905,-0.329,-1.262,-0.705,-0.372,-0.2195,-0.568,-0.188,-0.011,-0.9225,-0.4215,-0.22
-1.2665,-1.9015,-0.635,1.5835,-0.316,-1.2685,-0.704,-0.378,-0.226,-0.571,-0.192,-0.012,-0.922,-0.607,-0.607
-1.2825,-1.904,-0.6215,1.593,-0.331,-1.2625,-0.691,-0.362,-0.216,-0.5595,-0.185,-0.007,-0.9235,-0.755,-0.938
-1.2965,-1.915,-0.619,1.6055,-0.339,-1.267,-0.688,-0.352,-0.2075,-0.5535,-0.1815,-0.0055,-0.925,-0.491,-0.357
-1.294,-1.9185,-0.6245,1.606,-0.335,-1.2715,-0.6915,-0.357,-0.21,-0.555,-0.1825,-0.005,-0.923,-0.4585,-0.2725
-1.2835,-1.9115,-0.628,1.597,-0.328,-1.27,-0.692,-0.356,-0.2115,-0.555,-0.1865,-0.0095,-0.924,-0.4675,-0.3255
-1.2695,-1.9085,-0.639,1.5885,-0.3155,-1.2735,-0.6915,-0.3545,-0.216,-0.5585,-0.1955,-0.0145,-0.9245,-0.4515,-0.2825
-1.2805,-1.9195,-0.6385,1.5995,-0.3215,-1.279,-0.675,-0.353,-0.2175,-0.56,-0.196,-0.012,-0.9285,-0.4865,-0.319
-1.295,-1.9275,-0.632,1.611,-0.3315,-1.28,-0.6745,-0.356,-0.2215,-0.5605,-0.1975,-0.0165,-0.935,-0.474,-0.286
-1.2885,-1.9255,-0.637,1.6065,-0.326,-1.281,-0.6835,-0.357,-0.2155,-0.5515,-0.19,-0.015,-0.928,-0.485,-0.3245
-1.2855,-1.914,-0.6285,1.599,-0.3285,-1.271,-0.684,-0.361,-0.209,-0.5465,-0.1865,-0.0165,-0.9255,-0.465,-0.31
-1.286,-1.9015,-0.616,1.5935,-0.335,-1.2585,-0.686,-0.3665,-0.214,-0.549,-0.193,-0.0235,-0.93,-0.467,-0.328
-1.285,-1.91,-0.625,1.5975,-0.3305,-1.2675,-0.679,-0.3685,-0.2175,-0.5465,-0.1885,-0.0205,-0.9285,-0.4735,-0.323
-1.2835,-1.9095,-0.626,1.5965,-0.3295,-1.268,-0.682,-0.373,-0.2075,-0.5375,-0.1825,-0.016,-0.9245,-0.476,-0.3265
-1.2825,-1.9055,-0.623,1.5935,-0.33,-1.264,-0.684,-0.376,-0.1965,-0.5295,-0.1805,-0.0175,-0.9235,-0.4685,-0.3245
-1.28,-1.904,-0.624,1.592,-0.3285,-1.264,-0.683,-0.3725,-0.191,-0.525,-0.1755,-0.0105,-0.918,-0.474,-0.327
-1.286,-1.9,-0.614,1.593,-0.3365,-1.257,-0.6825,-0.369,-0.1885,-0.522,-0.1725,-0.005,-0.9135,-0.4775,-0.3375
-1.2935,-1.914,-0.6205,1.6035,-0.337,-1.2675,-0.682,-0.3785,-0.194,-0.523,-0.172,-0.019,-0.9205,-0.4855,-0.343
