i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.529,-0.0775,-0.6075,-0.225,0.5685,-0.343,1.5635,0.6245,0.38,1.463,0.6185,0.442,0.3925,0.1175,-0.0205
0.5315,-0.075,-0.607,-0.228,0.5695,-0.3415,1.5605,0.6255,0.3805,1.466,0.622,0.446,0.399,0.118,-0.017
0.533,-0.075,-0.608,-0.229,0.5705,-0.3415,1.5595,0.626,0.38,1.466,0.623,0.447,0.398,0.1105,-0.019
0.539,-0.072,-0.611,-0.2335,0.575,-0.3415,1.561,0.6295,0.381,1.4685,0.6265,0.451,0.4,0.11,-0.0185
0.537,-0.0695,-0.6065,-0.2335,0.5715,-0.338,1.5585,0.6295,0.386,1.472,0.6285,0.4545,0.401,0.1175,-0.0215
0.5355,-0.0725,-0.608,-0.231,0.5715,-0.3405,1.5595,0.625,0.382,1.469,0.625,0.452,0.4,0.1215,-0.0175
0.5405,-0.071,-0.6115,-0.2345,0.576,-0.3415,1.56,0.628,0.383,1.471,0.625,0.453,0.405,0.119,-0.0155
0.5345,-0.076,-0.6105,-0.229,0.5725,-0.3435,1.563,0.627,0.382,1.4705,0.625,0.452,0.403,0.115,-0.015
0.532,-0.079,-0.6115,-0.226,0.572,-0.3455,1.5625,0.6265,0.3795,1.47,0.6225,0.447,0.399,0.1155,-0.0095
0.535,-0.0755,-0.6105,-0.2295,0.5725,-0.343,1.5635,0.6255,0.378,1.469,0.6245,0.448,0.3995,0.1155,-0.0105
0.5355,-0.0725,-0.608,-0.231,0.572,-0.3405,1.563,0.6215,0.378,1.4685,0.625,0.448,0.3985,0.117,-0.013
0.537,-0.073,-0.61,-0.2315,0.5735,-0.342,1.564,0.6225,0.376,1.468,0.6245,0.448,0.3975,0.1165,-0.0165
0.539,-0.0735,-0.612,-0.2325,0.5755,-0.343,1.5645,0.625,0.3815,1.4745,0.631,0.4525,0.402,0.1155,-0.018
0.538,-0.0725,-0.611,-0.2325,0.5745,-0.342,1.5665,0.633,0.389,1.481,0.635,0.454,0.4045,0.1185,-0.0205
0.535,-0.0735,-0.608,-0.2305,0.5715,-0.341,1.5695,0.6315,0.383,1.474,0.632,0.452,0.404,0.118,-0.02
0.535,-0.074,-0.6085,-0.23,0.5715,-0.3415,1.5665,0.628,0.381,1.4705,0.6295,0.449,0.4035,0.115,-0.018
0.537,-0.0735,-0.6105,-0.2315,0.5735,-0.3425,1.5695,0.6315,0.3825,1.47,0.627,0.4475,0.4,0.1145,-0.0175
0.538,-0.071,-0.6095,-0.233,0.574,-0.3405,1.5715,0.6275,0.3825,1.471,0.6265,0.4475,0.3995,0.117,-0.0175
0.535,-0.076,-0.611,-0.229,0.573,-0.344,1.5695,0.625,0.3825,1.4705,0.626,0.4465,0.3975,0.118,-0.015
0.5355,-0.079,-0.615,-0.228,0.575,-0.3475,1.57,0.624,0.381,1.4705,0.627,0.448,0.3995,0.1175,-0.0015
0.532,-0.079,-0.6115,-0.226,0.572,-0.346,1.5685,0.6255,0.382,1.4735,0.628,0.449,0.4035,0.116,-0.0135
0.5345,-0.0775,-0.613,-0.228,0.5735,-0.346,1.571,0.6285,0.3855,1.4735,0.6295,0.451,0.4025,0.118,-0.0245
0.546,-0.073,-0.6185,-0.2365,0.582,-0.346,1.5775,0.6265,0.3885,1.4765,0.6335,0.4555,0.4075,0.114,-0.0155
0.541,-0.076,-0.617,-0.232,0.579,-0.347,1.575,0.6325,0.393,1.4815,0.635,0.458,0.4105,0.114,-0.016
0.541,-0.078,-0.6195,-0.231,0.5805,-0.3495,1.5705,0.6315,0.391,1.48,0.632,0.456,0.411,0.112,-0.016
0.5485,-0.0715,-0.6195,-0.238,0.584,-0.346,1.5755,0.6365,0.389,1.4765,0.628,0.454,0.408,0.1055,-0.019
0.55,-0.067,-0.617,-0.241,0.5835,-0.342,1.578,0.6395,0.3875,1.4735,0.624,0.453,0.406,0.1135,-0.0185
0.5395,-0.0755,-0.615,-0.2315,0.577,-0.3455,1.5735,0.627,0.3805,1.469,0.6205,0.4485,0.4055,0.112,-0.0135
0.5315,-0.084,-0.616,-0.2235,0.574,-0.3505,1.5695,0.623,0.378,1.4665,0.618,0.447,0.409,0.113,-0.0065
0.5315,-0.085,-0.6175,-0.223,0.5745,-0.3515,1.5695,0.6215,0.3775,1.467,0.6175,0.447,0.412,0.117,-0.0055
0.5315,-0.0855,-0.6175,-0.2225,0.5745,-0.352,1.573,0.63,0.3815,1.4685,0.6205,0.4485,0.415,0.112,-0.007
0.537,-0.085,-0.622,-0.2255,0.5795,-0.354,1.5745,0.6305,0.3795,1.465,0.6215,0.4505,0.4205,0.1115,-0.0055
0.531,-0.089,-0.6205,-0.221,0.576,-0.355,1.572,0.621,0.3725,1.4585,0.617,0.445,0.414,0.103,-0.0065
0.5295,-0.0895,-0.6195,-0.2195,0.5745,-0.3555,1.5685,0.6205,0.3715,1.457,0.614,0.4415,0.4085,0.1005,-0.007
0.5315,-0.0905,-0.6225,-0.22,0.5765,-0.357,1.5675,0.6195,0.372,1.457,0.6135,0.4415,0.409,0.101,-0.0015
0.5325,-0.088,-0.621,-0.2215,0.577,-0.355,1.5705,0.62,0.372,1.459,0.617,0.443,0.406,0.1015,-0.003
0.541,-0.08,-0.6215,-0.23,0.581,-0.351,1.5715,0.6225,0.3725,1.463,0.6225,0.448,0.406,0.105,-0.0125
0.546,-0.076,-0.6225,-0.2345,0.5845,-0.3495,1.5755,0.6315,0.38,1.464,0.6255,0.4495,0.407,0.1045,-0.0105
0.549,-0.0705,-0.619,-0.239,0.5835,-0.345,1.5855,0.6335,0.3845,1.4675,0.626,0.449,0.4055,0.116,-0.0075
0.551,-0.066,-0.6175,-0.2425,0.584,-0.342,1.5855,0.63,0.387,1.4725,0.6285,0.451,0.403,0.12,-0.007
0.553,-0.068,-0.621,-0.242,0.587,-0.345,1.5825,0.628,0.387,1.473,0.6295,0.453,0.401,0.1155,-0.0075
0.548,-0.074,-0.622,-0.2365,0.585,-0.348,1.5845,0.629,0.3765,1.4655,0.624,0.4495,0.4015,0.1115,-0.008
0.546,-0.076,-0.6225,-0.235,0.5845,-0.3495,1.577,0.6265,0.3755,1.464,0.6225,0.449,0.405,0.1135,-0.0045
0.5475,-0.074,-0.621,-0.2365,0.584,-0.3475,1.574,0.62,0.3775,1.4665,0.6225,0.448,0.404,0.113,-0.006
0.544,-0.0705,-0.6145,-0.2365,0.5795,-0.343,1.5775,0.625,0.3785,1.4675,0.6225,0.4465,0.4015,0.1115,-0.0125
0.543,-0.0685,-0.6115,-0.237,0.5775,-0.3405,1.575,0.624,0.3815,1.47,0.6245,0.448,0.404,0.1165,-0.013
0.542,-0.0755,-0.6175,-0.233,0.58,-0.347,1.5725,0.624,0.3785,1.4665,0.623,0.448,0.4085,0.1085,-0.006
0.541,-0.0865,-0.628,-0.2265,0.5845,-0.358,1.573,0.6225,0.3745,1.462,0.621,0.448,0.4105,0.101,0.0065
0.5455,-0.0795,-0.625,-0.2325,0.5855,-0.3525,1.5795,0.623,0.375,1.462,0.6235,0.449,0.4095,0.104,0.0
0.55,-0.069,-0.6185,-0.24,0.584,-0.344,1.5835,0.6265,0.3795,1.4665,0.629,0.454,0.4115,0.1115,-0.0115
0.5505,-0.074,-0.625,-0.238,0.5875,-0.35,1.5815,0.6255,0.3785,1.4645,0.626,0.453,0.4105,0.112,-0.008
0.5485,-0.0815,-0.6305,-0.233,0.5895,-0.3565,1.579,0.6215,0.3745,1.461,0.6235,0.4515,0.41,0.1015,-0.0035
0.539,-0.089,-0.628,-0.2245,0.5835,-0.359,1.5795,0.6155,0.3715,1.4595,0.621,0.4505,0.4075,0.0945,-0.003
0.5345,-0.0915,-0.6265,-0.221,0.5805,-0.3595,1.5815,0.62,0.371,1.4575,0.6195,0.4485,0.404,0.1005,-0.0055
0.5365,-0.09,-0.627,-0.2225,0.582,-0.359,1.58,0.6205,0.375,1.46,0.622,0.452,0.4065,0.1045,-0.004
0.536,-0.0885,-0.6255,-0.2235,0.5805,-0.3575,1.5805,0.615,0.3725,1.461,0.622,0.453,0.406,0.1045,-0.0025
0.537,-0.088,-0.6255,-0.224,0.5815,-0.357,1.5755,0.6135,0.366,1.4565,0.619,0.4495,0.4035,0.1025,-0.0015
0.5395,-0.0845,-0.6245,-0.227,0.582,-0.355,1.5745,0.6115,0.3665,1.455,0.6145,0.446,0.4015,0.1035,-0.0005
0.539,-0.084,-0.6235,-0.2275,0.581,-0.354,1.579,0.6105,0.365,1.456,0.613,0.4455,0.401,0.1055,-0.0035
0.5375,-0.0855,-0.6235,-0.2255,0.5805,-0.355,1.58,0.6095,0.364,1.457,0.615,0.446,0.401,0.1075,-0.0045
0.54,-0.083,-0.6235,-0.228,0.582,-0.3535,1.581,0.6125,0.3645,1.457,0.6155,0.446,0.4025,0.1085,-0.0015
0.544,-0.0835,-0.6275,-0.2295,0.5855,-0.356,1.58,0.617,0.3635,1.457,0.6165,0.446,0.4025,0.1025,0.002
0.5375,-0.085,-0.623,-0.2255,0.5805,-0.3545,1.5805,0.6205,0.368,1.46,0.619,0.446,0.401,0.106,-0.002
0.5305,-0.0895,-0.62,-0.22,0.575,-0.355,1.578,0.6165,0.366,1.4555,0.617,0.4425,0.402,0.108,-0.003
0.5275,-0.095,-0.623,-0.216,0.5755,-0.3595,1.574,0.6095,0.3615,1.451,0.6125,0.436,0.397,0.105,0.0035
0.524,-0.095,-0.6195,-0.2145,0.572,-0.3575,1.5755,0.6145,0.3595,1.452,0.612,0.435,0.393,0.108,-0.0025
0.523,-0.095,-0.6185,-0.2135,0.571,-0.357,1.572,0.607,0.3575,1.4495,0.6105,0.4345,0.391,0.1055,-0.009
0.5255,-0.093,-0.619,-0.216,0.5725,-0.3565,1.5705,0.6085,0.365,1.452,0.6115,0.435,0.391,0.1055,-0.01
0.5265,-0.0895,-0.617,-0.218,0.572,-0.3535,1.579,0.615,0.363,1.452,0.6115,0.4355,0.388,0.1065,-0.01
0.5235,-0.092,-0.616,-0.2155,0.57,-0.3545,1.581,0.6125,0.3615,1.4515,0.6125,0.4375,0.3855,0.107,-0.0075
0.521,-0.0965,-0.618,-0.212,0.5695,-0.3575,1.5775,0.6135,0.364,1.454,0.613,0.442,0.391,0.106,-0.002
