i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.3385,-1.8865,-1.5475,1.1125,0.604,-1.7175,0.917,0.6035,0.8455,0.8845,0.7785,0.7815,0.046,-1.12,0.0885
-0.3305,-1.8865,-1.556,1.1085,0.6125,-1.7215,0.915,0.608,0.8465,0.8885,0.778,0.7815,0.045,-1.1235,0.0965
-0.3305,-1.888,-1.557,1.1095,0.613,-1.723,0.9155,0.6075,0.8475,0.889,0.777,0.7795,0.0425,-1.126,0.0885
-0.33,-1.8845,-1.554,1.1075,0.6115,-1.7195,0.915,0.6075,0.849,0.891,0.7795,0.782,0.042,-1.12,0.083
-0.327,-1.8835,-1.5565,1.105,0.6145,-1.72,0.915,0.6075,0.851,0.892,0.7835,0.785,0.044,-1.1185,0.083
-0.331,-1.8865,-1.5555,1.1085,0.612,-1.7215,0.912,0.603,0.848,0.8885,0.781,0.7825,0.0445,-1.1255,0.0795
-0.337,-1.8895,-1.552,1.1135,0.6075,-1.721,0.914,0.6025,0.85,0.889,0.7815,0.781,0.043,-1.1315,0.0725
-0.342,-1.8935,-1.551,1.118,0.604,-1.7225,0.9175,0.6045,0.853,0.888,0.7805,0.779,0.042,-1.134,0.069
-0.3425,-1.8855,-1.542,1.114,0.599,-1.7135,0.917,0.6055,0.8525,0.8905,0.7815,0.781,0.0425,-1.123,0.078
-0.336,-1.878,-1.5415,1.107,0.6025,-1.71,0.9165,0.605,0.857,0.896,0.7835,0.7845,0.0445,-1.111,0.0835
-0.3335,-1.8795,-1.546,1.1065,0.606,-1.713,0.9195,0.6065,0.859,0.895,0.785,0.786,0.044,-1.1065,0.083
-0.3425,-1.879,-1.536,1.1105,0.5965,-1.708,0.9205,0.607,0.8585,0.894,0.7865,0.787,0.0435,-1.102,0.084
-0.346,-1.8795,-1.5335,1.1125,0.5935,-1.7065,0.92,0.6065,0.859,0.893,0.7855,0.7855,0.0455,-1.0995,0.086
-0.344,-1.8785,-1.534,1.111,0.595,-1.7065,0.92,0.608,0.8595,0.893,0.7845,0.786,0.046,-1.103,0.0855
-0.34,-1.876,-1.535,1.108,0.597,-1.7055,0.921,0.6105,0.8605,0.8935,0.7835,0.7845,0.0435,-1.1045,0.083
-0.336,-1.874,-1.537,1.105,0.6,-1.7055,0.926,0.6155,0.8635,0.8975,0.7875,0.7865,0.0415,-1.1015,0.0785
-0.335,-1.8685,-1.5325,1.102,0.5985,-1.7005,0.9305,0.619,0.867,0.9015,0.79,0.79,0.042,-1.095,0.077
-0.3365,-1.866,-1.5295,1.101,0.5965,-1.698,0.933,0.62,0.868,0.9,0.79,0.792,0.043,-1.0865,0.084
-0.335,-1.8595,-1.5245,1.097,0.5945,-1.6925,0.936,0.621,0.869,0.9005,0.7915,0.795,0.0435,-1.0795,0.085
-0.3385,-1.85,-1.511,1.094,0.586,-1.6805,0.939,0.6225,0.871,0.905,0.794,0.796,0.041,-1.067,0.082
-0.346,-1.85,-1.503,1.098,0.5785,-1.677,0.942,0.623,0.873,0.907,0.7935,0.7955,0.0395,-1.058,0.08
-0.337,-1.8455,-1.508,1.091,0.5855,-1.677,0.9455,0.6255,0.8755,0.908,0.7965,0.795,0.0385,-1.0605,0.0735
-0.3375,-1.8515,-1.5135,1.0945,0.5875,-1.6825,0.9465,0.6265,0.876,0.9075,0.7965,0.7955,0.039,-1.0625,0.0715
-0.3435,-1.86,-1.516,1.1015,0.586,-1.6885,0.947,0.627,0.875,0.908,0.7955,0.7965,0.041,-1.062,0.074
-0.34,-1.858,-1.517,1.099,0.5885,-1.688,0.95,0.6285,0.8765,0.91,0.799,0.798,0.042,-1.0645,0.07
-0.3395,-1.8585,-1.518,1.099,0.589,-1.6885,0.952,0.629,0.8775,0.9095,0.797,0.7975,0.043,-1.0695,0.066
-0.3385,-1.854,-1.515,1.0965,0.5875,-1.685,0.955,0.6305,0.877,0.91,0.796,0.796,0.0405,-1.0655,0.067
-0.3375,-1.852,-1.514,1.0945,0.588,-1.6835,0.9545,0.628,0.8745,0.9075,0.7945,0.795,0.0405,-1.065,0.065
-0.3355,-1.853,-1.517,1.094,0.5905,-1.685,0.954,0.6255,0.874,0.9055,0.7935,0.7925,0.041,-1.073,0.062
-0.331,-1.853,-1.5215,1.092,0.595,-1.6875,0.955,0.6265,0.8755,0.9075,0.792,0.7915,0.0405,-1.077,0.059
-0.327,-1.8545,-1.527,1.091,0.6,-1.6915,0.96,0.6295,0.8795,0.911,0.793,0.793,0.04,-1.082,0.054
-0.333,-1.853,-1.52,1.093,0.5935,-1.6865,0.962,0.6305,0.88,0.911,0.795,0.794,0.04,-1.075,0.058
-0.3345,-1.8495,-1.5145,1.0915,0.59,-1.682,0.9615,0.6325,0.878,0.912,0.7945,0.795,0.043,-1.0695,0.062
-0.334,-1.845,-1.511,1.0895,0.5885,-1.6785,0.9645,0.635,0.88,0.914,0.7955,0.7965,0.044,-1.0635,0.0665
-0.331,-1.8395,-1.508,1.085,0.5885,-1.674,0.963,0.635,0.881,0.914,0.797,0.7985,0.0485,-1.064,0.0685
-0.3295,-1.844,-1.514,1.0865,0.592,-1.679,0.9645,0.6365,0.8825,0.918,0.7995,0.8005,0.047,-1.0695,0.068
-0.333,-1.846,-1.5125,1.0895,0.5895,-1.6795,0.967,0.636,0.885,0.921,0.801,0.8005,0.045,-1.063,0.07
-0.33,-1.8455,-1.515,1.0875,0.592,-1.68,0.9685,0.64,0.888,0.9245,0.804,0.803,0.048,-1.0685,0.0655
-0.335,-1.8525,-1.517,1.094,0.5905,-1.685,0.967,0.641,0.89,0.9275,0.8075,0.804,0.0465,-1.071,0.0645
-0.3375,-1.8515,-1.513,1.0945,0.5875,-1.6825,0.958,0.6345,0.8895,0.9275,0.8075,0.801,0.0495,-1.0685,0.064
-0.3335,-1.8395,-1.5055,1.0865,0.586,-1.673,0.9465,0.629,0.8825,0.922,0.803,0.7985,0.05,-1.0635,0.066
-0.3235,-1.8245,-1.5005,1.074,0.5885,-1.663,0.94,0.626,0.8805,0.919,0.8025,0.8,0.051,-1.0535,0.0715
-0.3135,-1.823,-1.509,1.0685,0.5975,-1.6665,0.9375,0.627,0.8825,0.92,0.8035,0.8025,0.0505,-1.0585,0.072
-0.3085,-1.8255,-1.517,1.067,0.604,-1.6715,0.935,0.627,0.8825,0.921,0.8035,0.8025,0.05,-1.0665,0.0705
-0.3035,-1.827,-1.523,1.0655,0.6095,-1.6755,0.927,0.623,0.884,0.9225,0.8065,0.807,0.0555,-1.072,0.0725
-0.306,-1.8265,-1.52,1.0665,0.607,-1.6735,0.9185,0.619,0.883,0.9225,0.8075,0.808,0.058,-1.0665,0.077
-0.307,-1.824,-1.517,1.0655,0.605,-1.671,0.9175,0.6205,0.8845,0.9255,0.81,0.808,0.0605,-1.06,0.0765
-0.3055,-1.828,-1.522,1.067,0.608,-1.6755,0.91,0.6205,0.8855,0.924,0.81,0.808,0.0635,-1.065,0.075
-0.2975,-1.8225,-1.525,1.0595,0.6135,-1.674,0.904,0.6175,0.886,0.926,0.8115,0.8095,0.0655,-1.0645,0.076
-0.29,-1.821,-1.5315,1.055,0.6205,-1.6765,0.904,0.6195,0.8895,0.9295,0.8175,0.8155,0.0685,-1.0675,0.079
-0.294,-1.8235,-1.53,1.0585,0.618,-1.677,0.903,0.619,0.887,0.927,0.817,0.8145,0.069,-1.0685,0.0785
-0.2955,-1.8215,-1.526,1.058,0.6155,-1.674,0.9045,0.6175,0.883,0.9245,0.814,0.8125,0.069,-1.07,0.078
-0.298,-1.827,-1.5285,1.0625,0.615,-1.678,0.9055,0.616,0.8815,0.92,0.8095,0.811,0.0695,-1.077,0.0755
-0.3045,-1.829,-1.5235,1.067,0.6095,-1.6765,0.907,0.614,0.878,0.918,0.806,0.8095,0.07,-1.0715,0.074
-0.3045,-1.833,-1.528,1.069,0.6115,-1.681,0.9065,0.6145,0.8765,0.917,0.8075,0.8095,0.072,-1.0755,0.0735
-0.3015,-1.834,-1.5325,1.0675,0.6155,-1.6835,0.9065,0.6135,0.8745,0.9175,0.8075,0.809,0.0695,-1.075,0.0725
-0.2995,-1.8315,-1.5315,1.0655,0.616,-1.6815,0.9035,0.6125,0.875,0.9175,0.806,0.811,0.0705,-1.0685,0.0815
-0.2975,-1.8365,-1.539,1.0665,0.6205,-1.688,0.901,0.611,0.8735,0.9145,0.807,0.811,0.0715,-1.076,0.09
-0.298,-1.8325,-1.534,1.065,0.618,-1.6835,0.899,0.604,0.869,0.9115,0.8055,0.8115,0.068,-1.068,0.0925
-0.2925,-1.8285,-1.5355,1.06,0.6215,-1.682,0.893,0.5985,0.867,0.9095,0.804,0.813,0.07,-1.0715,0.092
-0.2905,-1.8255,-1.5355,1.0575,0.6225,-1.6805,0.89,0.597,0.863,0.9085,0.8045,0.8125,0.071,-1.0745,0.0925
-0.2885,-1.827,-1.5385,1.0575,0.6255,-1.683,0.888,0.597,0.862,0.907,0.805,0.8135,0.0705,-1.0715,0.096
-0.2805,-1.833,-1.553,1.0565,0.636,-1.693,0.8875,0.5955,0.863,0.9055,0.8045,0.8125,0.071,-1.0845,0.094
-0.273,-1.8295,-1.557,1.051,0.642,-1.6935,0.887,0.5915,0.861,0.905,0.803,0.814,0.0725,-1.0825,0.1015
-0.2655,-1.823,-1.558,1.044,0.646,-1.691,0.884,0.5915,0.8605,0.9045,0.803,0.816,0.075,-1.0815,0.108
-0.267,-1.823,-1.5565,1.045,0.645,-1.69,0.879,0.588,0.855,0.902,0.7995,0.8135,0.0795,-1.0845,0.104
-0.269,-1.8225,-1.5535,1.0455,0.6425,-1.688,0.876,0.586,0.8525,0.901,0.8005,0.8135,0.0815,-1.0725,0.1085
-0.2665,-1.816,-1.55,1.041,0.6415,-1.6835,0.8755,0.589,0.855,0.9025,0.8045,0.816,0.082,-1.063,0.1145
-0.2565,-1.812,-1.555,1.034,0.6495,-1.684,0.8785,0.5905,0.858,0.905,0.806,0.8185,0.0825,-1.062,0.1175
-0.2555,-1.8065,-1.551,1.0305,0.648,-1.679,0.8775,0.59,0.8575,0.9025,0.803,0.816,0.0805,-1.0625,0.1095
-0.264,-1.806,-1.542,1.0345,0.639,-1.674,0.876,0.5885,0.856,0.9,0.8,0.812,0.077,-1.063,0.1045
-0.2755,-1.804,-1.5285,1.0395,0.6265,-1.6665,0.8775,0.587,0.8585,0.901,0.8025,0.812,0.075,-1.0545,0.106
-0.283,-1.806,-1.523,1.0445,0.62,-1.665,0.8785,0.5865,0.858,0.9015,0.802,0.8135,0.077,-1.053,0.104
-0.2825,-1.8065,-1.524,1.044,0.621,-1.6655,0.8805,0.5905,0.8585,0.903,0.803,0.815,0.0775,-1.053,0.1015
-0.2825,-1.8035,-1.521,1.0425,0.619,-1.6625,0.881,0.592,0.859,0.9045,0.8045,0.8165,0.078,-1.051,0.097
-0.276,-1.8075,-1.531,1.0415,0.6275,-1.6695,0.884,0.5955,0.861,0.907,0.8065,0.8195,0.081,-1.0565,0.102
-0.277,-1.814,-1.537,1.045,0.63,-1.676,0.885,0.599,0.864,0.91,0.8105,0.8215,0.084,-1.062,0.1025
-0.275,-1.8225,-1.5475,1.0485,0.636,-1.6855,0.887,0.601,0.8685,0.912,0.8125,0.822,0.086,-1.0725,0.099
-0.279,-1.828,-1.5495,1.0535,0.6355,-1.689,0.8895,0.6025,0.8695,0.911,0.813,0.82,0.087,-1.0765,0.0985
-0.2915,-1.834,-1.5425,1.0625,0.6255,-1.6885,0.8905,0.6035,0.8695,0.912,0.812,0.8185,0.0865,-1.071,0.097
-0.2945,-1.8305,-1.536,1.062,0.621,-1.6835,0.896,0.6055,0.8735,0.9145,0.814,0.821,0.087,-1.0685,0.0995
-0.2875,-1.8205,-1.533,1.054,0.6225,-1.677,0.8985,0.611,0.8775,0.92,0.818,0.822,0.087,-1.0695,0.097
-0.28,-1.819,-1.5385,1.049,0.6295,-1.679,0.9025,0.6165,0.885,0.928,0.823,0.8245,0.085,-1.068,0.0915
-0.281,-1.823,-1.5415,1.052,0.63,-1.6825,0.9075,0.618,0.889,0.9325,0.8285,0.8255,0.083,-1.0705,0.0875
-0.284,-1.8245,-1.5405,1.054,0.6285,-1.6825,0.9125,0.6225,0.8925,0.9365,0.83,0.8275,0.0815,-1.0705,0.0805
-0.293,-1.8245,-1.5315,1.0585,0.619,-1.678,0.9125,0.6235,0.8955,0.9405,0.8295,0.827,0.082,-1.0675,0.0715
-0.2995,-1.8285,-1.529,1.064,0.6145,-1.679,0.912,0.6235,0.8965,0.939,0.827,0.825,0.0805,-1.069,0.0715
-0.298,-1.8315,-1.5335,1.0645,0.6175,-1.6825,0.916,0.625,0.8945,0.9315,0.8225,0.823,0.0775,-1.0695,0.079
-0.2965,-1.833,-1.5365,1.0645,0.62,-1.685,0.918,0.6285,0.895,0.9275,0.82,0.8225,0.0775,-1.072,0.083
-0.2895,-1.8335,-1.544,1.061,0.6275,-1.689,0.918,0.6295,0.895,0.9265,0.819,0.823,0.078,-1.0795,0.0845
-0.2795,-1.835,-1.5555,1.057,0.638,-1.6955,0.9155,0.6285,0.893,0.924,0.8175,0.819,0.08,-1.094,0.079
-0.2805,-1.8405,-1.5595,1.06,0.6395,-1.7,0.914,0.6275,0.891,0.9205,0.8165,0.815,0.08,-1.106,0.079
-0.2865,-1.8465,-1.5595,1.066,0.6365,-1.703,0.908,0.617,0.879,0.9115,0.81,0.808,0.0755,-1.111,0.087
-0.295,-1.8485,-1.5535,1.0715,0.629,-1.701,0.905,0.609,0.87,0.904,0.802,0.8025,0.0725,-1.106,0.0885
