i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.4765,0.004,0.4795,0.236,-0.478,0.2425,-1.431,-2.376,-2.559,-1.751,-0.3115,-0.3185,-0.5615,0.685,0.894
-0.4705,0.042,0.512,0.2145,-0.4915,0.2775,-1.4545,-2.4415,-2.6305,-1.8135,-0.3235,-0.311,-0.565,0.7125,0.911
-0.46,0.06,0.519,0.2,-0.4895,0.29,-1.4715,-2.5165,-2.732,-1.9165,-0.36,-0.3155,-0.584,0.717,0.9445
-0.4525,0.021,0.4725,0.2155,-0.4625,0.247,-1.466,-2.5525,-2.796,-1.993,-0.3875,-0.3205,-0.602,0.685,0.975
-0.45,-0.0675,0.3815,0.2585,-0.416,0.1575,-1.4365,-2.5495,-2.822,-2.039,-0.387,-0.3095,-0.609,0.617,0.993
-0.4705,-0.168,0.302,0.319,-0.386,0.0675,-1.408,-2.515,-2.802,-2.028,-0.34,-0.2695,-0.581,0.547,1.0
-0.4965,-0.2545,0.2415,0.3755,-0.3685,-0.006,-1.386,-2.473,-2.7665,-1.9955,-0.282,-0.2245,-0.542,0.49,1.003
-0.5175,-0.2985,0.2185,0.408,-0.3675,-0.0395,-1.385,-2.4665,-2.763,-1.983,-0.227,-0.1765,-0.5025,0.474,1.0105
-0.545,-0.3345,0.21,0.44,-0.3775,-0.062,-1.3925,-2.4725,-2.78,-1.994,-0.1845,-0.131,-0.4655,0.465,1.026
-0.5675,-0.3855,0.181,0.4765,-0.374,-0.102,-1.3975,-2.481,-2.797,-2.0095,-0.152,-0.0955,-0.436,0.4325,1.0445
-0.6015,-0.472,0.129,0.5365,-0.365,-0.171,-1.4025,-2.472,-2.787,-1.9905,-0.099,-0.0525,-0.3965,0.3805,1.0625
-0.6265,-0.5475,0.0785,0.587,-0.3525,-0.234,-1.407,-2.462,-2.778,-1.9795,-0.071,-0.0315,-0.3755,0.33,1.0845
-0.6485,-0.609,0.039,0.629,-0.3435,-0.2845,-1.397,-2.4305,-2.745,-1.946,-0.038,-0.008,-0.3495,0.29,1.0885
-0.685,-0.6935,-0.009,0.6895,-0.338,-0.3505,-1.38,-2.38,-2.697,-1.8985,0.0095,0.0255,-0.31,0.2405,1.089
-0.715,-0.778,-0.0635,0.7465,-0.3255,-0.42,-1.3685,-2.3355,-2.6545,-1.8635,0.031,0.0345,-0.289,0.1895,1.0945
-0.756,-0.881,-0.126,0.8185,-0.315,-0.503,-1.366,-2.288,-2.601,-1.8175,0.057,0.047,-0.261,0.1235,1.108
-0.804,-0.991,-0.1885,0.898,-0.3075,-0.5895,-1.372,-2.243,-2.5505,-1.771,0.0905,0.0715,-0.2185,0.05,1.131
-0.847,-1.1065,-0.2605,0.977,-0.293,-0.683,-1.3575,-2.1835,-2.4925,-1.7235,0.1275,0.101,-0.174,-0.0195,1.134
-0.881,-1.188,-0.308,1.0345,-0.286,-0.7475,-1.357,-2.1545,-2.4605,-1.693,0.1695,0.1355,-0.133,-0.067,1.144
-0.9175,-1.2415,-0.325,1.0795,-0.296,-0.783,-1.364,-2.133,-2.4315,-1.656,0.2215,0.1775,-0.084,-0.0945,1.154
-0.9555,-1.2885,-0.334,1.1215,-0.3105,-0.811,-1.3595,-2.093,-2.387,-1.612,0.273,0.2175,-0.0395,-0.117,1.1465
-0.9895,-1.34,-0.3515,1.1645,-0.319,-0.845,-1.3665,-2.071,-2.3625,-1.5855,0.3205,0.257,0.0065,-0.1435,1.152
-1.0215,-1.397,-0.3765,1.209,-0.3225,-0.8865,-1.368,-2.0535,-2.3395,-1.556,0.372,0.305,0.06,-0.169,1.159
-1.039,-1.415,-0.377,1.2265,-0.3305,-0.8955,-1.3735,-2.0545,-2.33,-1.541,0.407,0.344,0.093,-0.1765,1.1595
-1.053,-1.426,-0.374,1.2395,-0.3395,-0.8995,-1.381,-2.0525,-2.3225,-1.538,0.4195,0.3665,0.1145,-0.1815,1.166
-1.056,-1.425,-0.3705,1.24,-0.3425,-0.8975,-1.3715,-2.0315,-2.3,-1.53,0.4155,0.378,0.1215,-0.1745,1.163
-1.052,-1.4105,-0.3595,1.231,-0.346,-0.8845,-1.362,-2.019,-2.2875,-1.53,0.4005,0.387,0.1215,-0.156,1.1595
